 

 Különböző hőmérséklet esetén a szondán mérhető feszültség értéke
 T [°C]               1 perc       2 perc     3 perc  4 perc           5 perc        6 perc
   309                 0,54         0,67       0,75    0,79             0,85          0,87
   328                 0,90         0,94       1,03    1,08             1,12          1,15
   349                 1,22          1,26    1,31          1,33          1,36          1,34
   369                 1,31          1,46    1,51          1,58          1,67            -
   389                 1,71          1,75    1,80          1,85          1,82          1,91
   409                 1,87          1,97    2,02          2,05          2,12          2,02
   429                 2,36          2,36    2,36          2,29          2,33            -
   450                 2,36          2,29    2,43          2,37          2,43            -
   468                 2,46          2,54    2,50          2,56          2,64          2,72
   489                 2,47          2,55    2,58          2,64          2,81            -
   507                 2,52          2,54    2,65          2,92          3,08          3,16


 Három különböző hőmérséklet esetén a szondán mérhető feszültség értéke gyakoribb mintavételezéssel.
 T [°C]                               U [mV]
        t [s]   0:15      0:30      0:45          1:00    1:15          1:30          1:45          2:00  2:15      2:30    2:45            3:00    3:15          3:30          3:45          4:00      4:15      4:30    4:45            5:00
   369          1,22      1,26      1,29          1,31    1,38          1,49          1,48          1,46  1,44      1,43    1,46            1,51    1,59          1,63          1,63          1,58      1,55      1,54    1,59            1,67
   429          2,04      2,22      2,35          2,36    2,26          2,40          2,32          2,36  2,36      2,34    2,33            2,36    2,34          2,27          2,23          2,29      2,26      2,25    2,23            2,33
   489          2,10      2,35      2,46          2,47    2,49          2,52          2,55          2,55  2,58      2,61    2,57            2,58    2,60          2,61          2,60          2,64      2,66      2,76    2,77            2,81

 





